SoC,OCV,R0,R1,R2,C1,C2,Tau1,Tau2
57.815,52.28094624856562,0.0561335978806534,0.0407376410121859,0.0295735589157268,610.7964016938228,7029.880580354587,24.08151176523425,227.95143318018532
57.816,52.280956965913255,0.0561328252111675,0.0407379559613939,0.0295741648849806,610.7940037632998,7029.793708559399,24.08171248019247,227.95290888749184
57.817,52.28096768409298,0.0561320525638912,0.04073827092928,0.0295747709431608,610.7916055403102,7029.706829156225,24.08191321214249,227.95438470028225
57.818,52.2809784031048,0.0561312799388382,0.0407385859158392,0.0295753770902622,610.7892070248538,7029.619942145065,24.08211396108098,227.95586061852453
57.819,52.28098912294876,0.056130507336022,0.0407389009210662,0.0295759833262799,610.7868082169307,7029.533047525916,24.082314727004608,227.9573366421868
57.82,52.280999843624826,0.0561297347554564,0.0407392159449558,0.0295765896512086,610.7844091165409,7029.446145298783,24.08251550991003,227.95881277123692
57.821,52.28101056513302,0.0561289621971551,0.040739530987503,0.0295771960650433,610.7820097236844,7029.359235463663,24.08271630979392,227.96028900564303
57.822,52.281021287473365,0.0561281896611316,0.0407398460487026,0.029577802567779,610.779610038361,7029.272318020555,24.08291712665293,227.96176534537312
57.823,52.281032010645845,0.0561274171473996,0.0407401611285493,0.0295784091594105,610.7772100605711,7029.185392969462,24.08311796048373,227.96324179039507
57.824,52.28104273465049,0.0561266446559728,0.040740476227038,0.0295790158399328,610.7748097903144,7029.098460310382,24.08331881128298,227.96471834067697
57.825,52.281053459487296,0.0561258721868648,0.0407407913441636,0.0295796226093408,610.772409227591,7029.011520043315,24.08351967904734,227.9661949961868
57.826,52.28106418515628,0.0561250997400894,0.0407411064799209,0.0295802294676294,610.7700083724008,7028.924572168262,24.08372056377347,227.96767175689249
57.827,52.28107491165744,0.0561243273156601,0.0407414216343047,0.0295808364147934,610.7676072247439,7028.837616685222,24.08392146545803,227.969148622762
57.828,52.28108563899078,0.0561235549135907,0.0407417368073098,0.0295814434508279,610.7652057846202,7028.750653594196,24.08412238409769,227.97062559376337
